item1_id,item2_id,is_duplicate,confidence,reasoning,latency_seconds,cost_dollars,cosine_similarity
BUG-0001,BUG-0084,True,0.9,"Both items describe webhooks failing to be delivered to the same endpoint with a failing retry mechanism. The only difference is the specification of the environment (production) in Item 2, which suggests a scope limitation rather than a different issue. Fixing the underlying cause in one is likely to resolve the issue in both cases.",2.500584840774536,0.00453,0.9607096
BUG-0001,BUG-0023,True,0.9,"Both items describe issues with webhooks not being delivered to the same endpoint (/api/payments) and mention a failing retry mechanism. The only difference is the timing of the failures (consistently vs. during peak hours), which could be a symptom of the same underlying issue. Fixing the retry mechanism or the delivery process in one should likely resolve the issue in both cases.",2.790586233139038,0.00489,0.9599554
BUG-0001,BUG-0393,False,0.7,"Both items describe webhook delivery failures with a failing retry mechanism, but they target different endpoints (/api/payments vs. /api/orders). Fixing the issue in one endpoint might not resolve the issue in the other, suggesting different underlying configurations or issues specific to each endpoint.",3.3680713176727295,0.0042,0.92874444
BUG-0003,BUG-0025,True,0.85,"Both items describe an issue with the infinite scroll not triggering pagination due to the API Gateway getting stuck, although the number of items after which the gateway gets stuck differs (20 vs 100). The core issue appears to be the same, and a fix for one is likely to resolve the other, despite the difference in reproducibility and the specific item count.",3.0857961177825928,0.00489,0.97710896
BUG-0003,BUG-0249,True,0.9,"Both items describe an issue with the infinite scroll not triggering pagination after 20 items, and both are reproducible only in production. The slight difference in terminology ('API Gateway' vs. 'Backend') suggests a similar area of the system might be implicated, likely just described differently by the reporters.",3.312568426132202,0.0046300000000000004,0.9020351
BUG-0003,BUG-0293,False,0.7,"Both items describe an issue with infinite scroll not loading more than 20 items, but the root causes appear different. Item 1 indicates a problem with the API Gateway, while Item 2 suggests an issue on the frontend. Fixing one might not resolve the other unless both components are interconnected in a way not described.",4.010210037231445,0.00465,0.895441
BUG-0004,BUG-0289,True,1.0,"Both items describe the same issue with identical symptoms and root cause, indicating that resolving one would resolve the other.",2.6937360763549805,0.0033699999999999997,1.0
BUG-0004,BUG-0086,True,0.8,"Both items describe a performance issue with the Admin Panel load time during periods of high traffic, suggesting a common underlying issue related to system performance under load. Although one mentions a database bottleneck and the other mentions the Admin Panel itself, addressing one is likely to impact the other due to the interconnected nature of the components.",3.267559289932251,0.004580000000000001,0.8990332
BUG-0005,BUG-0172,True,0.95,"Both items describe the same issue of a 401 unauthorized error during password reset due to token validation failure in the User Service. The only difference is the reproducibility condition (consistently vs. during peak hours), which likely points to the same underlying issue manifesting under different conditions. Fixing the token validation issue should resolve both cases.",2.640105724334717,0.0049,0.9861214
BUG-0005,BUG-0386,False,0.7,"Both items describe a 401 unauthorized error during password reset, but the root causes differ: one is due to token validation in User Service and the other in the Database. Fixing one might not necessarily resolve the other as they involve different components.",2.4701755046844482,0.004280000000000001,0.95649624
BUG-0005,BUG-0357,False,0.8,"Both items describe a 401 unauthorized error during password reset, but the root causes differ: one is due to token validation in the User Service, and the other in the Notification Service. Fixing one might not resolve the issue in the other service.",3.045029640197754,0.00433,0.94899637
BUG-0006,BUG-0142,False,0.9,"The issues occur on different endpoints (/api/users vs /api/auth) and return different HTTP status codes (500 vs 400), suggesting different root causes and symptoms. Fixing one is unlikely to resolve the other.",2.5114030838012695,0.0041,0.90415657
BUG-0006,BUG-0105,False,0.8,"Both issues involve the /api/users endpoint and unauthorized access, but they differ in the HTTP status codes returned (500 vs 401) and the user groups affected (all users vs premium tier users). Fixing one might not necessarily resolve the other as they could stem from different underlying causes or configurations.",2.452733039855957,0.00462,0.8944695
BUG-0006,BUG-0051,False,0.9,"The issues described in BUG-0006 and BUG-0051 involve the same endpoint but have different error codes and reasons. BUG-0006 is a 500 error indicating an 'unauthorized' issue, likely related to authentication or permissions. BUG-0051 is a 502 error with 'connection refused', suggesting a problem with the server or network. Fixing one is unlikely to resolve the other as they stem from different underlying causes.",2.918678045272827,0.0055,0.8884501
BUG-0007,BUG-0027,True,0.9,Both items describe a timeout error during the user creation process due to a database query performance issue affecting specific customers. The difference in timeout duration (120 seconds vs. 60 seconds) suggests a variation in symptom severity or configuration but does not indicate a different underlying issue. Fixing the database performance issue should resolve both bugs.,3.139543056488037,0.0046099999999999995,0.9962932
BUG-0004,BUG-0131,False,0.8,"Both items describe the same symptom of the Admin Panel taking 5 seconds to load during peak traffic, but they attribute the issue to different root causes: one to a database bottleneck and the other to an API Gateway bottleneck. Fixing one may not necessarily resolve the other unless both components are interdependent in a way not described here.",2.704540491104126,0.0047,0.8443125
