ndcg@5,precision@5,recall@5,ndcg@10,precision@10,recall@10,ndcg@20,precision@20,recall@20,ap,rr,query,query_type
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,improve documentation,task
0.0,0.0,0.0,0.0,0.0,0.0,0.07389464807379723,0.1,0.06666666666666667,0.11666666666666667,0.08333333333333333,integration problems,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11206653231268174,0.04,frontend bugs,vague
0.6164336326286644,0.6,0.06666666666666667,0.6114735274236562,0.6,0.13333333333333333,0.7096366335310949,0.75,0.3333333333333333,0.6734903403556655,1.0,infinite scroll not loading,specific
0.3156484524795145,0.4,0.044444444444444446,0.4896484487323553,0.6,0.13333333333333333,0.6333290222095371,0.75,0.3333333333333333,0.6229841798495049,0.3333333333333333,database connection pool exhausted,specific
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.8325461019445386,0.75,0.3333333333333333,1.0,1.0,form validation missing,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.03635628798853883,0.05,0.022222222222222223,0.0693139187820039,0.07142857142857142,authentication,vague
0.0,0.0,0.0,0.1356854453911663,0.2,0.044444444444444446,0.4087621162720474,0.55,0.24444444444444444,0.44899314512183,0.125,user management,vague
1.0,1.0,0.16666666666666666,0.7951725670061052,0.8,0.26666666666666666,0.6748499785354071,0.6,0.4,0.8047685740963051,1.0,audit logging,feature
1.0,1.0,0.1111111111111111,0.8006937664098821,0.7,0.15555555555555556,0.5167416129563499,0.35,0.15555555555555556,0.7578795420607267,1.0,export functionality,vague
0.13120507751234178,0.2,0.03333333333333333,0.2965933967560253,0.4,0.13333333333333333,0.40111069753046347,0.5,0.3333333333333333,0.42427150435771127,0.2,refactor code,task
0.1968740777898919,0.2,0.06666666666666667,0.24002735929703412,0.2,0.13333333333333333,0.22940121220437573,0.15,0.2,0.30843294908893687,1.0,timeout after 30 seconds,technical
0.3391602052736161,0.2,0.022222222222222223,0.2837125544970319,0.2,0.044444444444444446,0.21784899171941494,0.15,0.06666666666666667,0.32068833943833946,1.0,notification system,vague
1.0,1.0,0.1111111111111111,0.793584067764911,0.7,0.15555555555555556,0.6924537555011155,0.6,0.26666666666666666,0.7941375298472484,1.0,data inconsistency in users table,specific
0.3156484524795145,0.4,0.06666666666666667,0.3378862576543199,0.4,0.13333333333333333,0.47342717575159965,0.55,0.36666666666666664,0.48627827863867906,0.3333333333333333,support PDF export,feature
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,performance profiling,task
0.6164336326286644,0.6,0.2,0.6082965289412682,0.6,0.4,0.7695422020249753,0.65,0.8666666666666667,0.6488545730105832,1.0,integrate with Slack,feature
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.8325461019445386,0.75,0.3333333333333333,1.0,1.0,memory leak in backend,specific
0.3391602052736161,0.2,0.03333333333333333,0.2200917662980802,0.1,0.03333333333333333,0.17679021233252587,0.1,0.06666666666666667,0.3176156100738168,1.0,500 internal server error on /api/users,technical
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.8325461019445386,0.75,0.3333333333333333,1.0,1.0,transaction deadlock,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07779174725983237,0.041666666666666664,ORM query optimization needed,technical
0.0,0.0,0.0,0.0,0.0,0.0,0.13603596514031618,0.2,0.08888888888888889,0.13166666666666665,0.06666666666666667,database issues,vague
0.7227265726449519,0.6,0.06666666666666667,0.741670249010153,0.7,0.15555555555555556,0.7271625182540694,0.7,0.3111111111111111,0.7502099946836788,1.0,page load slow,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,security audit,task
0.5087403079104241,0.4,0.044444444444444446,0.5294438830372383,0.5,0.1111111111111111,0.6590116961276913,0.7,0.3111111111111111,0.6215699528083428,1.0,search not working,vague
1.0,1.0,0.16666666666666666,0.7819835854675756,0.7,0.23333333333333334,0.7472516481120991,0.7,0.4666666666666667,0.7854684617068517,1.0,optimize database queries,task
0.5147714448836774,0.6,0.1,0.485813635742251,0.5,0.16666666666666666,0.4920599183977612,0.5,0.3333333333333333,0.5530805753386399,0.5,add unit tests,task
0.6992148198508501,0.6,0.1,0.5867945846769146,0.5,0.16666666666666666,0.6985805440447825,0.7,0.4666666666666667,0.6810612022995923,1.0,setup monitoring,task
0.7227265726449519,0.6,0.1,0.5832304767363361,0.4,0.13333333333333333,0.4666365259482833,0.25,0.16666666666666666,0.5212081839904421,1.0,unicode character encoding issue,technical
0.6164336326286644,0.6,0.1,0.6816604510406282,0.7,0.23333333333333334,0.5839376791075471,0.55,0.36666666666666664,0.6525246975246977,1.0,401 unauthorized error,technical
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.8299895242769625,0.75,0.3333333333333333,0.9866269841269841,1.0,high CPU usage,specific
0.3391602052736161,0.2,0.03333333333333333,0.42333070005078105,0.4,0.13333333333333333,0.5954981718052015,0.65,0.43333333333333335,0.5769936032319934,1.0,password reset email not sent,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.13511560690714156,0.2,0.13333333333333333,0.2040778534044788,0.0625,XSS in user input,technical
0.830419897363192,0.8,0.08888888888888889,0.8115558478722846,0.8,0.17777777777777778,0.779743544107944,0.75,0.3333333333333333,0.8380596636478991,1.0,query performance degradation,specific
0.5087403079104241,0.4,0.06666666666666667,0.5294438830372383,0.5,0.16666666666666666,0.5528406278090855,0.55,0.36666666666666664,0.5600940535437101,1.0,login problems,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.07182212955009638,0.1,0.06666666666666667,0.12420842907812478,0.08333333333333333,race condition in concurrent requests,technical
1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.7970360920361242,0.7,0.3111111111111111,1.0,1.0,session timeout not working,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,code review needed,task
0.6608397947263839,0.8,0.08888888888888889,0.713654010247531,0.8,0.17777777777777778,0.7100322149079211,0.75,0.3333333333333333,0.7725917454864822,0.5,JSON parsing error,specific
0.0,0.0,0.0,0.0,0.0,0.0,0.03730675036644463,0.05,0.03333333333333333,0.09868169059469499,0.07692307692307693,CORS error in API gateway,technical
0.0,0.0,0.0,0.14465249243306438,0.2,0.06666666666666667,0.24341662377616033,0.3,0.2,0.2924274799274799,0.16666666666666666,validation error on form submission,technical
0.6164336326286644,0.6,0.06666666666666667,0.6032621820619529,0.6,0.13333333333333333,0.676457902762843,0.7,0.3111111111111111,0.672397991871676,1.0,API returns 500 error,specific
1.0,1.0,0.16666666666666666,0.6881307098211843,0.6,0.2,0.5827981899565204,0.4,0.26666666666666666,0.6365097336525908,1.0,mobile responsive design,feature
0.09404673201358822,0.2,0.03333333333333333,0.0697509626594255,0.1,0.03333333333333333,0.07788163638277538,0.1,0.06666666666666667,0.16223544973544973,0.25,NullPointerException in authentication,technical
1.0,1.0,0.3333333333333333,0.7909506325094736,0.7,0.4666666666666667,0.8179255921953494,0.6,0.8,0.7639116511084474,1.0,webhook delivery failures,specific
1.0,1.0,0.1111111111111111,0.7987274163285907,0.8,0.17777777777777778,0.5328441842168865,0.4,0.17777777777777778,1.0,1.0,report generation,vague
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.8325461019445386,0.75,0.5,1.0,1.0,memory consumption over 1GB,technical
0.21398626473452756,0.2,0.03333333333333333,0.3471357245055707,0.4,0.13333333333333333,0.36532924465812483,0.4,0.26666666666666666,0.4067085258084459,0.5,bulk delete functionality,feature
1.0,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,0.9953401710462293,0.6,1.0,0.9685457516339868,1.0,role based access control,feature
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03867595818815331,0.02857142857142857,security issues,vague
